campaign_id,impressions,clicks,conversions,cost,avg_conversion_value,has_lift_test,lift_test_data,has_geo_experiment,geo_data,lift_test_control_conversions,lift_test_treatment_conversions,lift_test_control_size,lift_test_treatment_size,geo_treatment_pre_conversions,geo_treatment_post_conversions,geo_control_pre_conversions,geo_control_post_conversions,geo_treatment_regions,geo_control_regions,baseline_conversions,true_incremental_conversions,true_iROAS,availability_type
campaign_0000,1028708,33811,3324,92240.26,168.93,True,"{'control_conversions': 106, 'treatment_conversions': 209, 'control_size': 60173, 'treatment_size': 60174}",True,"{'treatment_pre_conversions': 366.2106918773949, 'treatment_post_conversions': 1987.1364660083243, 'control_pre_conversions': 444.85580211878, 'control_post_conversions': 458.3702546792397, 'treatment_regions': 9, 'control_regions': 9}",106,209,60173,60174,366.2106918773949,1987.1364660083243,444.85580211878,458.3702546792397,9,9,1652.9327,1642.2972,3.0077,both
campaign_0001,204887,1941,171,3161.56,101.77,True,"{'control_conversions': 3, 'treatment_conversions': 3, 'control_size': 6428, 'treatment_size': 6428}",True,"{'treatment_pre_conversions': 39.335917999900836, 'treatment_post_conversions': 69.6821072400737, 'control_pre_conversions': 27.583765810289513, 'control_post_conversions': 30.170467567058825, 'treatment_regions': 8, 'control_regions': 10}",3,3,6428,6428,39.335917999900836,69.6821072400737,27.583765810289513,30.170467567058825,8,10,142.3881,34.3941,1.1072,both
campaign_0002,690067,14236,393,62170.22,123.46,True,"{'control_conversions': 16, 'treatment_conversions': 22, 'control_size': 49829, 'treatment_size': 49829}",True,"{'treatment_pre_conversions': 55.796245499908906, 'treatment_post_conversions': 233.7232551456008, 'control_pre_conversions': 56.143392814301784, 'control_post_conversions': 54.34107907398006, 'treatment_regions': 4, 'control_regions': 6}",16,22,49829,49829,55.796245499908906,233.7232551456008,56.143392814301784,54.34107907398006,4,6,214.1218,164.7481,0.3272,both
campaign_0003,452618,12118,1637,27977.76,247.91,True,"{'control_conversions': 112, 'treatment_conversions': 146, 'control_size': 40656, 'treatment_size': 40656}",True,"{'treatment_pre_conversions': 284.1476037399836, 'treatment_post_conversions': 769.3200760532278, 'control_pre_conversions': 261.981202119148, 'control_post_conversions': 270.3763972758154, 'treatment_regions': 4, 'control_regions': 5}",112,146,40656,40656,284.1476037399836,769.3200760532278,261.981202119148,270.3763972758154,4,5,1077.243,586.2668,5.1949,both
campaign_0004,1359961,21817,1255,50414.38,135.17,False,,False,,,,,,,,,,,,474.7115,779.1325,2.0891,neither
campaign_0005,1094443,34235,2821,123930.54,73.28,False,,True,"{'treatment_pre_conversions': 648.3368886871544, 'treatment_post_conversions': 1259.848773181589, 'control_pre_conversions': 450.6770783652918, 'control_post_conversions': 454.41653636724436, 'treatment_regions': 8, 'control_regions': 5}",,,,,648.3368886871544,1259.848773181589,450.6770783652918,454.41653636724436,8,5,2124.0546,689.3801,0.4076,geo_only
campaign_0006,1631533,43408,3551,51955.37,87.96,False,,True,"{'treatment_pre_conversions': 800.423075579529, 'treatment_post_conversions': 1564.853990603712, 'control_pre_conversions': 571.974512346567, 'control_post_conversions': 617.8208516297797, 'treatment_regions': 10, 'control_regions': 8}",,,,,800.423075579529,1564.853990603712,571.974512346567,617.8208516297797,10,8,2592.9757,925.8424,1.5675,geo_only
campaign_0007,449630,4918,136,17406.13,149.61,False,,False,,,,,,,,,,,,107.7751,35.7225,0.307,neither
campaign_0008,1317058,14823,1911,38587.39,193.4,True,"{'control_conversions': 114, 'treatment_conversions': 196, 'control_size': 131642, 'treatment_size': 131642}",False,,114,196,131642,131642,,,,,,,1001.6309,863.5722,4.3283,lift_only
campaign_0009,1625612,17073,1381,44158.83,56.31,False,,False,,,,,,,,,,,,421.9734,965.1008,1.2307,neither
campaign_0010,1737865,13191,1163,15016.96,64.27,True,"{'control_conversions': 39, 'treatment_conversions': 85, 'control_size': 97700, 'treatment_size': 97700}",False,,39,85,97700,97700,,,,,,,853.0606,300.1051,1.2844,lift_only
campaign_0011,1535751,31637,2188,82407.27,88.35,False,,True,"{'treatment_pre_conversions': 182.3697040846359, 'treatment_post_conversions': 1454.1013490162761, 'control_pre_conversions': 170.68534976643895, 'control_post_conversions': 163.26200340208996, 'treatment_regions': 7, 'control_regions': 10}",,,,,182.3697040846359,1454.1013490162761,170.68534976643895,163.26200340208996,7,10,673.3514,1468.1645,1.574,geo_only
campaign_0012,1979435,35998,2030,140952.19,198.47,True,"{'control_conversions': 53, 'treatment_conversions': 108, 'control_size': 81283, 'treatment_size': 81284}",False,,53,108,81283,81284,,,,,,,1191.9398,838.367,1.1805,lift_only
campaign_0013,520176,4138,515,5796.92,134.64,True,"{'control_conversions': 8, 'treatment_conversions': 25, 'control_size': 21356, 'treatment_size': 21356}",False,,8,25,21356,21356,,,,,,,325.4703,176.9311,4.1093,lift_only
campaign_0014,1115731,28132,2189,83746.01,182.43,True,"{'control_conversions': 81, 'treatment_conversions': 99, 'control_size': 57533, 'treatment_size': 57534}",False,,81,99,57533,57534,,,,,,,1740.1956,435.0695,0.9478,lift_only
campaign_0015,1424244,14929,1373,47055.74,133.76,False,,True,"{'treatment_pre_conversions': 326.7939696596563, 'treatment_post_conversions': 530.0194596077795, 'control_pre_conversions': 335.6723927342707, 'control_post_conversions': 327.69996946859544, 'treatment_regions': 9, 'control_regions': 9}",,,,,326.7939696596563,530.0194596077795,335.6723927342707,327.69996946859544,9,9,1152.894,214.5276,0.6098,geo_only
campaign_0016,1577725,13247,1433,18388.5,218.24,False,,True,"{'treatment_pre_conversions': 211.40157293754132, 'treatment_post_conversions': 1030.593637257108, 'control_pre_conversions': 177.67876004192655, 'control_post_conversions': 176.75505571728323, 'treatment_regions': 5, 'control_regions': 4}",,,,,211.40157293754132,1030.593637257108,177.67876004192655,176.75505571728323,5,4,734.8996,798.0548,9.4715,geo_only
campaign_0017,1448756,47323,4009,188416.05,174.74,False,,False,,,,,,,,,,,,2355.6481,1631.6734,1.5132,neither
campaign_0018,527315,7006,696,23998.5,43.29,False,,True,"{'treatment_pre_conversions': 73.14824254507877, 'treatment_post_conversions': 424.1477145086051, 'control_pre_conversions': 51.55303929404493, 'control_post_conversions': 56.00645263377255, 'treatment_regions': 4, 'control_regions': 7}",,,,,73.14824254507877,424.1477145086051,51.55303929404493,56.00645263377255,4,7,267.9047,414.4096,0.7475,geo_only
campaign_0019,1198037,19857,1106,62785.26,238.61,False,,True,"{'treatment_pre_conversions': 145.93641395875562, 'treatment_post_conversions': 818.4543310971279, 'control_pre_conversions': 107.97484578149513, 'control_post_conversions': 116.65998222847982, 'treatment_regions': 9, 'control_regions': 4}",,,,,145.93641395875562,818.4543310971279,107.97484578149513,116.65998222847982,9,4,519.2738,594.1612,2.258,geo_only
campaign_0020,617947,8404,854,21242.75,160.33,True,"{'control_conversions': 34, 'treatment_conversions': 53, 'control_size': 40285, 'treatment_size': 40286}",False,,34,53,40285,40286,,,,,,,693.6609,127.0486,0.9589,lift_only
campaign_0021,138207,3496,412,5061.25,235.47,False,,True,"{'treatment_pre_conversions': 54.729718884203585, 'treatment_post_conversions': 242.68192103762152, 'control_pre_conversions': 37.644112594162024, 'control_post_conversions': 38.442279913300375, 'treatment_regions': 10, 'control_regions': 7}",,,,,54.729718884203585,242.68192103762152,37.644112594162024,38.442279913300375,10,7,195.0759,211.7941,9.8537,geo_only
campaign_0022,481503,9578,1227,8205.36,99.66,False,,False,,,,,,,,,,,,648.0283,564.3566,6.8543,neither
campaign_0023,592683,15572,885,44048.21,131.72,True,"{'control_conversions': 18, 'treatment_conversions': 49, 'control_size': 33193, 'treatment_size': 33193}",False,,18,49,33193,33193,,,,,,,376.9787,507.8412,1.5187,lift_only
campaign_0024,508377,15331,963,63727.77,171.86,True,"{'control_conversions': 10, 'treatment_conversions': 28, 'control_size': 19615, 'treatment_size': 19616}",False,,10,28,19615,19616,,,,,,,478.5242,494.8665,1.3345,lift_only
campaign_0025,488284,7931,311,8583.58,214.76,True,"{'control_conversions': 20, 'treatment_conversions': 31, 'control_size': 41135, 'treatment_size': 41136}",False,,20,31,41135,41136,,,,,,,198.6312,113.5529,2.841,lift_only
campaign_0026,1516999,46984,4299,153532.63,112.13,False,,False,,,,,,,,,,,,1964.8272,2383.6394,1.7409,neither
campaign_0027,1826820,23628,1179,31429.73,78.75,True,"{'control_conversions': 54, 'treatment_conversions': 105, 'control_size': 160789, 'treatment_size': 160790}",False,,54,105,160789,160790,,,,,,,420.7601,791.697,1.9837,lift_only
campaign_0028,279746,6920,191,15076.39,84.12,True,"{'control_conversions': 13, 'treatment_conversions': 15, 'control_size': 20295, 'treatment_size': 20296}",False,,13,15,20295,20296,,,,,,,144.0773,55.8004,0.3113,lift_only
campaign_0029,935545,18344,685,75272.67,208.36,False,,False,,,,,,,,,,,,543.6142,144.3701,0.3996,neither
campaign_0030,1885085,64571,4052,127643.6,64.42,False,,False,,,,,,,,,,,,1893.292,2202.8072,1.1117,neither
campaign_0031,415621,11288,1417,24066.2,191.75,True,"{'control_conversions': 45, 'treatment_conversions': 72, 'control_size': 21042, 'treatment_size': 21042}",True,"{'treatment_pre_conversions': 278.01707023961507, 'treatment_post_conversions': 741.5449248596616, 'control_pre_conversions': 253.04611039103608, 'control_post_conversions': 274.6928015713336, 'treatment_regions': 6, 'control_regions': 9}",45,72,21042,21042,278.01707023961507,741.5449248596616,253.04611039103608,274.6928015713336,6,9,914.1938,497.4438,3.9635,both
campaign_0032,241132,4836,552,14867.24,195.15,True,"{'control_conversions': 21, 'treatment_conversions': 32, 'control_size': 13290, 'treatment_size': 13290}",False,,21,32,13290,13290,,,,,,,326.8836,221.0165,2.9011,lift_only
campaign_0033,867851,6280,451,25075.45,60.92,True,"{'control_conversions': 11, 'treatment_conversions': 31, 'control_size': 63656, 'treatment_size': 63656}",False,,11,31,63656,63656,,,,,,,254.7393,213.7289,0.5193,lift_only
campaign_0034,174610,3351,443,7889.37,143.85,True,"{'control_conversions': 14, 'treatment_conversions': 32, 'control_size': 9584, 'treatment_size': 9585}",False,,14,32,9584,9585,,,,,,,294.0678,169.5512,3.0915,lift_only
campaign_0035,1093433,26467,2300,25536.85,72.88,False,,False,,,,,,,,,,,,1819.4774,454.0432,1.2959,neither
campaign_0036,897796,7071,719,12655.69,191.02,True,"{'control_conversions': 37, 'treatment_conversions': 61, 'control_size': 73316, 'treatment_size': 73316}",False,,37,61,73316,73316,,,,,,,414.5798,319.8338,4.8273,lift_only
campaign_0037,1779046,41191,4732,106216.67,82.77,True,"{'control_conversions': 216, 'treatment_conversions': 318, 'control_size': 114939, 'treatment_size': 114940}",True,"{'treatment_pre_conversions': 871.7276834016855, 'treatment_post_conversions': 2590.614557000906, 'control_pre_conversions': 687.1732510018862, 'control_post_conversions': 734.481537375705, 'treatment_regions': 9, 'control_regions': 7}",216,318,114939,114940,871.7276834016855,2590.614557000906,687.1732510018862,734.481537375705,9,7,3140.9045,1537.0192,1.1977,both
campaign_0038,1619906,14331,998,42856.02,192.27,False,,True,"{'treatment_pre_conversions': 133.47831020843304, 'treatment_post_conversions': 583.8698085928286, 'control_pre_conversions': 116.96518168614163, 'control_post_conversions': 131.41726908205544, 'treatment_regions': 5, 'control_regions': 9}",,,,,133.47831020843304,583.8698085928286,116.96518168614163,131.41726908205544,5,9,546.6583,440.266,1.9752,geo_only
campaign_0039,99872,1270,74,4217.6,155.63,False,,True,"{'treatment_pre_conversions': 8.047873213540058, 'treatment_post_conversions': 53.872054184176044, 'control_pre_conversions': 6.632029558848187, 'control_post_conversions': 7.212490517727683, 'treatment_regions': 6, 'control_regions': 7}",,,,,8.047873213540058,53.872054184176044,6.632029558848187,7.212490517727683,6,7,28.8102,42.8812,1.5823,geo_only
campaign_0040,1388061,42553,3944,167714.92,165.3,True,"{'control_conversions': 253, 'treatment_conversions': 310, 'control_size': 113715, 'treatment_size': 113715}",False,,253,310,113715,113715,,,,,,,3023.3506,904.4531,0.8914,lift_only
campaign_0041,1451131,28802,790,94772.62,102.76,False,,False,,,,,,,,,,,,601.6182,210.7501,0.2285,neither
campaign_0042,239549,4171,399,16573.59,85.94,False,,True,"{'treatment_pre_conversions': 97.48501806467212, 'treatment_post_conversions': 211.99999396753205, 'control_pre_conversions': 67.21049015020772, 'control_post_conversions': 72.19560210048586, 'treatment_regions': 6, 'control_regions': 6}",,,,,97.48501806467212,211.99999396753205,67.21049015020772,72.19560210048586,6,6,280.0112,117.7784,0.6107,geo_only
campaign_0043,719137,14770,1612,14535.21,182.17,False,,True,"{'treatment_pre_conversions': 288.6652903265421, 'treatment_post_conversions': 788.9331238277784, 'control_pre_conversions': 228.66353935877208, 'control_post_conversions': 232.39726062323177, 'treatment_regions': 10, 'control_regions': 5}",,,,,288.6652903265421,788.9331238277784,228.66353935877208,232.39726062323177,10,5,1029.9722,533.588,6.6875,geo_only
campaign_0044,1872462,31212,2872,116907.06,53.45,False,,True,"{'treatment_pre_conversions': 479.1412264071122, 'treatment_post_conversions': 1669.4602856828208, 'control_pre_conversions': 414.1933211656064, 'control_post_conversions': 456.0250759260524, 'treatment_regions': 10, 'control_regions': 8}",,,,,479.1412264071122,1669.4602856828208,414.1933211656064,456.0250759260524,10,8,1741.9846,1073.163,0.4907,geo_only
campaign_0045,1441058,26527,2647,101082.37,109.92,True,"{'control_conversions': 138, 'treatment_conversions': 160, 'control_size': 88773, 'treatment_size': 88774}",True,"{'treatment_pre_conversions': 631.8296199146474, 'treatment_post_conversions': 1164.0826201583518, 'control_pre_conversions': 526.8578861611905, 'control_post_conversions': 532.7906840629646, 'treatment_regions': 8, 'control_regions': 4}",138,160,88773,88774,631.8296199146474,1164.0826201583518,526.8578861611905,532.7906840629646,8,4,2203.8707,478.4822,0.5203,both
campaign_0046,1422750,10731,861,14619.24,173.39,False,,True,"{'treatment_pre_conversions': 54.2378570289047, 'treatment_post_conversions': 569.0329246255469, 'control_pre_conversions': 48.24640746683028, 'control_post_conversions': 51.221015754628525, 'treatment_regions': 6, 'control_regions': 5}",,,,,54.2378570289047,569.0329246255469,48.24640746683028,51.221015754628525,6,5,249.437,596.9811,7.0804,geo_only
campaign_0047,456297,14851,1459,32535.34,163.55,False,,True,"{'treatment_pre_conversions': 254.54133380323483, 'treatment_post_conversions': 1042.3439048833375, 'control_pre_conversions': 126.06163798817124, 'control_post_conversions': 131.67571312884152, 'treatment_regions': 7, 'control_regions': 8}",,,,,254.54133380323483,1042.3439048833375,126.06163798817124,131.67571312884152,7,8,758.6019,707.6808,3.5575,geo_only
campaign_0048,1234294,24957,2608,62695.19,86.41,True,"{'control_conversions': 206, 'treatment_conversions': 241, 'control_size': 118571, 'treatment_size': 118571}",True,"{'treatment_pre_conversions': 577.171157065014, 'treatment_post_conversions': 1185.0609292790293, 'control_pre_conversions': 442.38895946133556, 'control_post_conversions': 514.3245765934245, 'treatment_regions': 8, 'control_regions': 10}",206,241,118571,118571,577.171157065014,1185.0609292790293,442.38895946133556,514.3245765934245,8,10,2085.6309,616.3255,0.8495,both
campaign_0049,1750954,19629,1897,77916.52,67.53,False,,False,,,,,,,,,,,,906.5252,947.0564,0.8209,neither
campaign_0050,1379179,18791,1391,68913.92,57.31,True,"{'control_conversions': 119, 'treatment_conversions': 116, 'control_size': 108595, 'treatment_size': 108595}",False,,119,116,108595,108595,,,,,,,1367.5776,0.0,0.0,lift_only
campaign_0051,1062859,9888,528,33468.95,204.1,True,"{'control_conversions': 10, 'treatment_conversions': 17, 'control_size': 29538, 'treatment_size': 29539}",False,,10,17,29538,29539,,,,,,,523.5464,0.0,0.0,lift_only
campaign_0052,1824849,60900,7201,63503.87,69.52,False,,True,"{'treatment_pre_conversions': 1132.1468841315286, 'treatment_post_conversions': 4474.983463611089, 'control_pre_conversions': 850.0228579402166, 'control_post_conversions': 849.2273752837968, 'treatment_regions': 9, 'control_regions': 7}",,,,,1132.1468841315286,4474.983463611089,850.0228579402166,849.2273752837968,9,7,3454.8145,3757.6676,4.1134,geo_only
campaign_0053,317659,7768,670,16592.19,153.35,True,"{'control_conversions': 22, 'treatment_conversions': 41, 'control_size': 15979, 'treatment_size': 15980}",False,,22,41,15979,15980,,,,,,,582.2796,99.5117,0.9197,lift_only
campaign_0054,617807,7269,381,18029.49,120.31,True,"{'control_conversions': 25, 'treatment_conversions': 35, 'control_size': 44252, 'treatment_size': 44253}",True,"{'treatment_pre_conversions': 70.64120771374884, 'treatment_post_conversions': 195.05166176548295, 'control_pre_conversions': 65.44024863943285, 'control_post_conversions': 69.20759470007748, 'treatment_regions': 5, 'control_regions': 5}",25,35,44252,44253,70.64120771374884,195.05166176548295,65.44024863943285,69.20759470007748,5,5,277.8837,124.3227,0.8296,both
campaign_0055,1697327,17695,1620,36159.97,109.6,True,"{'control_conversions': 17, 'treatment_conversions': 49, 'control_size': 44396, 'treatment_size': 44397}",False,,17,49,44396,44397,,,,,,,944.3362,669.3163,2.0286,lift_only
campaign_0056,1734139,48577,1624,63858.77,119.3,False,,True,"{'treatment_pre_conversions': 266.43200981971614, 'treatment_post_conversions': 1101.6015507741872, 'control_pre_conversions': 187.06319316668998, 'control_post_conversions': 194.39282695083074, 'treatment_regions': 10, 'control_regions': 6}",,,,,266.43200981971614,1101.6015507741872,187.06319316668998,194.39282695083074,10,6,796.2068,852.3255,1.5923,geo_only
campaign_0057,377280,9127,1279,7740.51,178.48,False,,False,,,,,,,,,,,,820.3077,427.3384,9.8537,neither
campaign_0058,365790,4313,395,5797.92,244.45,True,"{'control_conversions': 10, 'treatment_conversions': 35, 'control_size': 33946, 'treatment_size': 33947}",True,"{'treatment_pre_conversions': 49.38116780897233, 'treatment_post_conversions': 298.352036356626, 'control_pre_conversions': 34.135446547008385, 'control_post_conversions': 31.458177066555226, 'treatment_regions': 8, 'control_regions': 6}",10,35,33946,33947,49.38116780897233,298.352036356626,34.135446547008385,31.458177066555226,8,6,171.178,234.2589,9.8768,both
campaign_0059,842595,9448,572,13964.28,247.27,False,,False,,,,,,,,,,,,273.2177,294.6822,5.2181,neither
campaign_0060,1460708,16042,1826,20142.42,126.52,True,"{'control_conversions': 94, 'treatment_conversions': 129, 'control_size': 94346, 'treatment_size': 94346}",True,"{'treatment_pre_conversions': 336.44483044033257, 'treatment_post_conversions': 802.802568900384, 'control_pre_conversions': 267.61253404952976, 'control_post_conversions': 285.9423672154542, 'treatment_regions': 6, 'control_regions': 8}",94,129,94346,94346,336.44483044033257,802.802568900384,267.61253404952976,285.9423672154542,6,8,1331.2188,529.9996,3.3291,both
campaign_0061,1123442,25036,2595,60855.23,248.87,False,,False,,,,,,,,,,,,1546.8543,1045.1411,4.2741,neither
campaign_0062,1873163,49954,3921,122958.57,45.08,False,,False,,,,,,,,,,,,1178.7641,2769.7524,1.0156,neither
campaign_0063,700853,20525,2099,24313.16,66.13,True,"{'control_conversions': 74, 'treatment_conversions': 135, 'control_size': 43941, 'treatment_size': 43942}",False,,74,135,43941,43942,,,,,,,1227.6848,886.837,2.4123,lift_only
campaign_0064,1537320,17739,2212,57530.76,223.01,True,"{'control_conversions': 69, 'treatment_conversions': 136, 'control_size': 101404, 'treatment_size': 101404}",False,,69,136,101404,101404,,,,,,,1139.9667,976.8681,3.7867,lift_only
campaign_0065,1442113,35971,2485,158479.74,40.12,True,"{'control_conversions': 37, 'treatment_conversions': 120, 'control_size': 68421, 'treatment_size': 68421}",False,,37,120,68421,68421,,,,,,,805.4709,1646.7253,0.4169,lift_only
campaign_0066,1957214,36772,2947,75910.67,108.11,True,"{'control_conversions': 211, 'treatment_conversions': 208, 'control_size': 162937, 'treatment_size': 162937}",True,"{'treatment_pre_conversions': 854.6715597383492, 'treatment_post_conversions': 1278.4101891989312, 'control_pre_conversions': 608.1963859395, 'control_post_conversions': 603.1488867738319, 'treatment_regions': 5, 'control_regions': 6}",211,208,162937,162937,854.6715597383492,1278.4101891989312,608.1963859395,603.1488867738319,5,6,2460.8105,501.4856,0.7142,both
campaign_0067,1543645,54801,4674,191804.32,105.73,False,,False,,,,,,,,,,,,1609.1272,3042.1128,1.6769,neither
campaign_0068,1903654,37600,4945,151100.66,65.34,False,,True,"{'treatment_pre_conversions': 999.9318667153544, 'treatment_post_conversions': 2602.8188661366453, 'control_pre_conversions': 703.8846390050627, 'control_post_conversions': 703.717443639565, 'treatment_regions': 6, 'control_regions': 5}",,,,,999.9318667153544,2602.8188661366453,703.8846390050627,703.717443639565,6,5,3262.5926,1710.4475,0.7396,geo_only
